"Designator","Comment","Layer","Footprint","Mid X","Mid Y","Rotation","Description"
"X100","40MHz","Top","XTAL_3225","5.0226","16.6005","270","Crystal SMD 40MHz 10PPM 12pF 3225"
"U201","TPS73733DCQR","Top","DCQ0006A_N","24.7726","27.6005","270","Single Output LDO, 1 A, Fixed 3.3 V Output, 2.2 to 5.5 V Input, with Reverse Current Protection, 6-pin SOT-223 (DCQ), -40 to 125 degC, Green (RoHS & no Sb/Br)"
"U200","BQ24092DGQR","Top","DGQ0010D_L","17.1476","33.6005","0","1 A, Single-Input, Single-Cell Li-Ion Battery Charger with Operation Over JEITA and 10 k ohm NTC, 4.5 V, -40 to 150 degC, 10-pin MSOP-PowerPAD (DGQ), Green (RoHS & no Sb/Br)"
"U102","SK6805-EC15","Top","SK6805-EC15","18.7726","15.8505","0",""
"U101","ESP32-C3","Top","QFN32-5x5","13.6726","14.8505","90","Ultra�Low�Power SoC with RISC�V Single�Core CPU Supporting IEEE 802.11b/g/n (2.4 GHz Wi�Fi) and Bluetooth� 5 (LE)"
"U100","W25Q128JVSIQ","Top","SOIC8_208_mil","14.0226","27.1005","270","128M-BIT SERIAL FLASH MEMORY WITH DUAL/QUAD SPI & QPI & DTR SOIC-8 208 MIL"
"R205","10k","Top","RES_0402","21.2726","33.8505","180","Resistor SMD 0402"
"R204","10k","Top","RES_0402","21.2726","37.3505","0","Resistor SMD 0402"
"R203","1k","Top","RES_0402","13.2726","32.8505","270","Resistor SMD 0402"
"R202","1k","Top","RES_0402","19.7726","25.3505","180","Resistor SMD 0402"
"R201","10k","Top","RES_0402","21.7726","35.8505","270","Resistor SMD 0402"
"R200","1k","Top","RES_0402","19.2726","24.1005","180","Resistor SMD 0402"
"R110","5k1","Top","RES_0402","4.0226","27.6005","180","Resistor SMD 0402"
"R109","10k","Top","RES_0402","18.5226","9.3505","270","Resistor SMD 0402"
"R108","5k1","Top","RES_0402","4.0226","24.8505","180","Resistor SMD 0402"
"R107","0","Top","RES_0402","6.1811","28.3652","90","Resistor SMD 0402"
"R106","0","Top","RES_0402","7.5088","28.3778","90","Resistor SMD 0402"
"R105","22","Top","RES_0402","8.7726","15.3505","270","Resistor SMD 0402"
"R104","0","Top","RES_0402","15.2726","20.8505","90","Resistor SMD 0402"
"R103","0","Top","RES_0402","13.5226","20.8505","90","Resistor SMD 0402"
"R102","0","Top","RES_0402","11.0226","20.8505","90","Resistor SMD 0402"
"R101","0","Top","RES_0402","12.2726","20.8505","90","Resistor SMD 0402"
"R100","0","Top","RES_0402","16.5226","20.8505","90","Resistor SMD 0402"
"L101","2n2","Top","IND_0402","9.2726","9.1005","0","Inductor SMD 0402"
"L100","2n2","Top","IND_0402","12.0226","10.6005","90","Inductor SMD 0402"
"J100","TYPE-C-31-M-12","Top","TYPE-C-31-M-12","6.2726","33.9755","180","USB Type C Connector Horizontal SMT"
"FB200","100R @ 100 MHz","Top","FB_0805","25.0226","36.6005","0","Ferrite Bead SMD 0805"
"D201","BLUE","Top","LED_0805_BLUE","19.2726","27.6005","0","LED 0805 BLUE SMD"
"D200","BLUE","Top","LED_0805_BLUE","19.2726","30.3505","0","LED 0805 BLUE SMD"
"D100","USBLC6-2SC6","Top","SOT-23-6","6.7726","23.1005","180","Low-Capacitance ESD Protection USB"
"C205","22u","Top","CAP_0603","21.2726","23.3505","90","Capacitor SMD 0603"
"C204","100n","Top","CAP_0603","24.2726","32.6005","180","Capacitor SMD 0603"
"C203","100n","Top","CAP_0603","27.7726","34.8505","270","Capacitor SMD 0603"
"C202","10u","Top","CAP_0805","24.7726","34.3505","0","Capacitor SMD 0805"
"C201","1u","Top","CAP_0402","20.5226","35.8505","270","Capacitor SMD 0402"
"C200","1u","Top","CAP_0402","13.2726","34.8505","270","Capacitor SMD 0402"
"C117","100n","Top","CAP_0402","18.7726","18.1005","90","Capacitor SMD 0402"
"C116","1u","Top","CAP_0402","16.0226","9.3505","90","Capacitor SMD 0402"
"C115","100n","Top","CAP_0402","17.2726","9.3505","270","Capacitor SMD 0402"
"C112","10p","Top","CAP_0402","7.5226","15.3505","270","Capacitor SMD 0402"
"C111","10p","Top","CAP_0402","7.5226","17.6005","90","Capacitor SMD 0402"
"C110","100n","Top","CAP_0402","20.5226","15.8505","270","Capacitor SMD 0402"
"C109","3p3","Top","CAP_0402","9.2726","10.3505","0","Capacitor SMD 0402"
"C108","3p3","Top","CAP_0402","9.2726","7.8505","180","Capacitor SMD 0402"
"C107","1u","Top","CAP_0402","13.2726","10.6005","90","Capacitor SMD 0402"
"C106","100n","Top","CAP_0402","12.0226","8.3505","270","Capacitor SMD 0402"
"C105","10u","Top","CAP_0603","14.0226","8.8505","0","Capacitor SMD 0603"
"C104","100n","Top","CAP_0402","17.7726","14.1005","0","Capacitor SMD 0402"
"C103","100n","Top","CAP_0402","16.7726","18.1005","0","Capacitor SMD 0402"
"C102","100n","Top","CAP_0402","9.2726","13.6005","180","Capacitor SMD 0402"
"C101","100n","Top","CAP_0402","9.2726","12.3505","180","Capacitor SMD 0402"
"C100","1u","Top","CAP_0402","17.2726","23.8505","270","Capacitor SMD 0402"
